BacklightingDetection_BacklightingValue        
CloseObjectDetection_ObjectInfo        
DarknessDetection_DarknessValue        
EngagementZones_LastMovementsInZone1     
EngagementZones_LastMovementsInZone2     
EngagementZones_LastMovementsInZone3     
EngagementZones_PeopleInZone1     
EngagementZones_PeopleInZone2     
EngagementZones_PeopleInZone3        
footContact        
leftFootContact     
leftFootTotalWeight        
MovementDetection_MovementInfo        
PeoplePerception_Person_$_AgeProperties   
PeoplePerception_Person_$_AnglesYawPitch     
PeoplePerception_Person_$_Distance    
PeoplePerception_Person_$_EngagementZone     
PeoplePerception_Person_$_ExpressionProperties     
PeoplePerception_Person_$_EyeOpeningDegree     
PeoplePerception_Person_$_GazeDirection     
PeoplePerception_Person_$_GenderProperties     
PeoplePerception_Person_$_HeadAngles     
PeoplePerception_Person_$_IsFaceDetected     
PeoplePerception_Person_$_IsLookingAtRobot     
PeoplePerception_Person_$_IsSitting     
PeoplePerception_Person_$_IsVisible     
PeoplePerception_Person_$_IsWaving     
PeoplePerception_Person_$_IsWavingCenter     
PeoplePerception_Person_$_IsWavingLeft     
PeoplePerception_Person_$_IsWavingRight     
PeoplePerception_Person_$_LookingAtRobotScore     
PeoplePerception_Person_$_NotSeenSince    
PeoplePerception_Person_$_PositionInRobotFrame     
PeoplePerception_Person_$_PositionInTorsoFrame    
PeoplePerception_Person_$_PositionInWorldFrame     
PeoplePerception_Person_$_PresentSince    
PeoplePerception_Person_$_RealHeight     
PeoplePerception_Person_$_ShirtColor    
PeoplePerception_Person_$_ShirtColorHSV     
PeoplePerception_Person_$_SmileProperties        
rightFootContact     
rightFootTotalWeight     
robotPose     
robotPoseSince        
Segmentation3D_BlobsList     
Segmentation3D_TopOfTrackedBlob        
UserSession_OpenSessions     
VisualSpaceHistory_VisualGrid_Data  
